trial,subject,condition,tsec,arousal,arousal_mean,above,above_adaptive,sustained,rate,excess_fixed,excess_adaptive,event,a100,am100,strat
3_17,3,1,10,34.39541223278644,59.502674395853205,1.0,1.0,1.0,10.10858310937764,21.31110371159927,17.237639331522207,0.0,0.34395412232786443,0.5950267439585321,<30
3_17,3,1,15,58.8864634251498,47.96922427893046,1.0,1.0,1.0,-5.953069092350519,42.262699421921354,26.80433821151677,0.0,0.588864634251498,0.4796922427893046,<30
3_17,3,1,20,25.541712889160422,13.529340171924247,1.0,0.0,1.0,-6.645082301614676,4.0873120975963815,0.0,0.0,0.25541712889160423,0.13529340171924248,<30
3_17,3,1,25,9.482632459397419,5.9662957215693115,0.0,0.0,0.0,-0.8544474088024214,0.0,0.0,0.0,0.09482632459397418,0.05966295721569312,<30
3_17,3,1,30,3.960424316544864,15.595730742764442,0.0,0.0,0.0,3.7687237049829605,0.0,0.0,1.0,0.03960424316544864,0.1559573074276444,30-40
3_19,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<30
3_19,3,3,5,0.0,0.2565210516448845,0.0,0.0,0.0,0.0854975307381497,0.0,0.0,0.0,0.0,0.0025652105164488447,<30
3_19,3,3,10,3.962166862965788,40.84000166435491,0.0,0.0,1.0,12.154034513209893,0.0,0.0,0.0,0.03962166862965788,0.4084000166435491,<30
3_19,3,3,15,80.07465441370364,53.853570898909695,1.0,1.0,1.0,-4.570712139380467,63.450890410475196,39.87930151103154,0.0,0.8007465441370364,0.538535708989097,<30
3_19,3,3,20,24.65655389082244,22.050425473509712,1.0,0.0,1.0,-3.5860113431029967,3.2021530992583997,0.0,0.0,0.2465655389082244,0.22050425473509713,<30
3_19,3,3,25,21.564009802071787,12.913971888828485,0.0,0.0,0.0,-2.3278917764502456,0.0,0.0,0.0,0.21564009802071787,0.12913971888828485,<30
3_19,3,3,30,15.68477198883383,26.23920039814717,0.0,0.0,0.0,4.045522456791099,0.0,0.0,0.0,0.15684771988833832,0.26239200398147167,30-40
3_19,3,3,35,18.15313659506086,26.08452693993911,0.0,0.0,0.0,0.1277058751835439,0.0,0.0,0.0,0.18153136595060862,0.2608452693993911,30-40
3_19,3,3,40,30.77549792409239,53.758905358295394,0.0,0.0,0.0,7.092291285852836,0.0,0.0,0.0,0.30775497924092393,0.537589053582954,30-40
3_19,3,3,45,74.6096319496242,89.25269367051348,0.0,0.0,0.0,6.138781633203488,0.0,0.0,0.0,0.746096319496242,0.8925269367051348,41-52
3_19,3,3,50,96.44130022205354,92.30824232292055,0.0,1.0,0.0,-1.0413797443905548,0.0,0.20009941573304957,0.0,0.9644130022205354,0.9230824232292055,41-52
3_19,3,3,55,85.30961152668854,87.95432792307,0.0,0.0,0.0,-0.2537597388756059,0.0,0.0,0.0,0.8530961152668854,0.8795432792307,53+
3_19,3,3,60,93.48267084329919,96.46354182391748,0.0,0.0,0.0,2.381049686673931,0.0,0.0,1.0,0.9348267084329919,0.9646354182391748,53+
3_2,3,1,0,0.0,0.16910081517288442,0.0,0.0,0.0,0.06640068424961752,0.0,0.0,0.0,0.0,0.0016910081517288443,<30
3_2,3,1,5,0.5438304608332813,1.4748452717976492,0.0,0.0,0.0,0.3186307281714893,0.0,0.0,0.0,0.0054383046083328135,0.014748452717976493,<30
3_2,3,1,10,5.558764086931221,19.258310639140053,0.0,0.0,1.0,5.015405291238049,0.0,0.0,0.0,0.05558764086931221,0.19258310639140053,<30
3_2,3,1,15,31.70998679948726,54.82462081795997,1.0,1.0,1.0,8.007781232438894,15.086222796258816,11.101985240675134,0.0,0.3170998679948726,0.5482462081795997,<30
3_2,3,1,20,76.27663460957143,88.59815479383897,1.0,1.0,1.0,5.4105261293685025,54.82223381800739,41.511602153991234,0.0,0.7627663460957144,0.8859815479383897,<30
