subject,difficulty,condition,duration_s,final,peak,mean
7,1,2,51.07421875,43.533443831819206,69.6298024509765,26.494434646844983
7,0,1,63.4765625,62.92913890719037,77.57206547376215,18.03283152375448
7,1,3,51.15625,24.489854997782874,64.27198843180447,15.3634680395401
7,0,3,67.328125,21.242562397249582,59.194743930299374,15.362354144741737
7,1,2,37.01953125,3.2462922452107272,20.64368554794252,6.835823086070515
7,0,2,33.1953125,13.20279572036379,51.10760621713222,7.89526442588571
7,1,1,37.07421875,28.588053340873454,49.89943607455232,21.479910136255455
7,0,1,37.3359375,18.962446455536973,64.12316085098482,23.799355755332876
8,0,1,77.92578125,97.76866453840712,98.86862777129029,70.22731629164926
8,1,2,33.1328125,93.77629709544,97.35850467495585,58.99899796118689
8,0,2,71.45703125,61.48339467984899,75.7415584835045,21.039506510027152
8,1,1,31.09375,65.63826795073888,72.62886445647634,18.522376447669064
8,0,3,87.79296875,96.7310692887638,98.27776322227315,44.8214871163176
8,1,3,35.26171875,81.32459175436401,97.1921289159765,37.09714816667133
8,0,1,61.51953125,83.98720112183996,99.98301134397049,60.62748277874523
8,1,3,53.39453125,81.57586034317315,99.06680039935426,63.363414586032
8,0,2,65.5546875,93.93171171792305,98.48413410686837,36.01450410401819
8,1,1,31.22265625,74.70915056252635,85.3926628847781,35.0716644379693
8,0,3,65.74609375,75.51177133822304,99.03971591586306,51.82841296806574
8,1,2,43.171875,97.28244019002214,99.6996853906937,37.920838218608054
8,0,2,71.66796875,86.22062691853172,98.27394622326307,39.874938315891384
8,1,3,39.35546875,7.128889028418605,70.01825307015417,25.116325415924933
8,0,2,61.78515625,1.300357862908126,86.47461741047812,23.836394180907625
8,0,1,63.52734375,64.2223107350273,95.27141811258059,38.42281148149929
8,1,3,31.12109375,4.531311972303776,90.10649072557153,46.79357322964075
8,0,2,63.5625,48.55013323077401,84.94468878595305,20.703412069654306
8,1,3,43.453125,81.88169353980844,96.17166202965174,26.813758653970606
8,0,2,63.5078125,62.170068718035104,92.71230711618747,29.98754656720908
8,1,1,35.23828125,73.4017544793759,85.5804021870363,16.26291659526851
8,0,1,72.31640625,83.82082629344178,90.05014692415338,22.217765422280415
8,1,3,61.14453125,46.844625894428255,80.49087286774144,21.145601971520605
9,0,3,55.33984375,21.335317255804934,38.332322447217926,5.273727264797948
9,1,1,33.0703125,45.28738453356496,83.4507318284105,29.510706276528996
9,0,1,53.34375,61.36610199064876,70.00088206533809,11.538721160246089
9,1,2,61.08984375,62.313821439100934,87.32118302784222,34.637639894229046
9,0,3,67.41015625,42.46706550781777,50.989472032934444,12.695142718864473
9,1,2,35.0390625,30.748943288658015,45.09495915891871,12.202623768968234
9,0,3,67.43359375,93.08728712492432,96.38975350491822,31.521035705523254
9,1,3,51.10546875,46.19832100606728,62.5504730742464,15.526984967435817
9,0,1,69.3671875,46.13690653050483,82.2862497830511,35.04531928896392
9,1,2,35.1171875,56.67616942245698,66.65182236777375,14.385686804693018
9,0,1,53.21875,0.00028856344317354906,3.316121660395452,0.2948925905780061
9,1,2,37.12890625,25.956401598472894,27.893598299265108,5.454826208320641
9,0,2,37.19140625,14.168083183059965,18.292766237475,1.5097308007690515
9,1,3,35.01171875,1.2473130851393446,6.2775696000628285,0.6428735264127907
9,0,1,67.3125,88.01441276639987,92.70626947778467,19.922114687405486
9,1,1,44.79296875,25.458153859411443,55.726352968295295,9.590953569122124
10,0,1,90.1875,50.006964444842986,99.97411725844873,36.55670646248682
10,1,2,31.08203125,5.504953587702924,18.529762838750344,5.811722435934633
10,0,1,67.83203125,70.24321236907586,78.07212805814751,17.84388701002505
10,1,2,35.17578125,41.11965979095049,70.34009883539905,10.435235778114219
10,0,3,61.546875,27.242679137384485,54.140929585740594,8.853708623113983
10,1,3,41.27734375,87.02921537180454,95.93766395953091,20.11086618944686
10,0,1,18.984375,0.01924269344861025,4.756437342511673,0.8388653625357704
10,1,3,35.11328125,57.02220779825483,70.50509635374979,7.637338034164059
10,0,3,75.66796875,99.44378989592023,99.84493345501387,32.83507738582519
10,1,1,35.13671875,33.61325299189795,52.729752294530485,3.09721528178276
10,0,2,65.55078125,79.5660129156913,93.65820551253708,28.083984328585238
10,1,2,35.09375,2.3900687135585383,3.6906076017202616,1.5801765281492357
10,0,1,81.625,43.05490342530711,93.95294776966824,17.733246744929048
10,1,3,33.125,0.008499380030400135,12.313966871689106,2.4068968328416602
10,0,1,77.52734375,0.10238413856167465,51.894129887177066,2.9654849808546335
10,1,3,41.10546875,2.044873681556432,14.282381776015843,3.0452821389030977
10,0,2,89.33984375,71.23482508494403,86.19201355389232,13.796337449480983
10,1,2,35.06640625,0.1572207827401702,3.3959729058268247,0.5997256880470639
10,0,1,79.64453125,56.278893290576285,88.32278112721919,17.98165724866404
10,1,3,37.09375,1.4741733524581562,6.433159603767635,1.2850860869299146
10,0,3,71.49609375,0.11116047145679665,23.268984272790195,2.741104120236419
10,1,2,47.078125,5.422893733471919,17.553023495036093,1.2871814812285456
10,0,1,63.515625,5.593401588422371,9.608662396068427,1.1631816517551714
10,1,2,38.8671875,21.862274832922736,69.470783738067,11.96521713689514
11,0,2,71.44921875,98.27444429633618,98.58887626802984,21.25547209872365
11,1,3,63.07421875,8.106404354320695,49.34710210817192,6.412808078900489
11,0,1,65.265625,0.41873401052883735,41.73002826529206,8.272668540456205
11,1,1,49.1328125,17.185647875999866,47.110881591435955,8.301056347878706
11,0,2,63.21875,53.67222105264033,60.78859919825593,13.321088547773604
11,1,3,31.06640625,0.29311053667664905,5.740863909806015,0.9127699429784305
11,0,3,89.44140625,98.44691724908846,98.87970000002164,27.06684724030153
11,1,1,31.0234375,5.856968295156569,7.077638674746639,0.8370056990421297
11,0,2,89.5546875,98.92683026413049,99.76839047436908,30.64112197947695
11,1,2,43.08203125,0.05927390374951499,27.56530747363932,3.277237845352805
11,0,1,63.30859375,36.04453904045238,48.646462045826055,6.313339841561762
11,1,3,33.04296875,24.227699400374593,30.78723566618411,4.1880474261811536
11,0,2,61.25390625,1.0739094011876058,6.295542549306763,0.9695577381217573
11,1,3,59.1484375,96.73242402997273,99.07829605182731,16.408907246332042
11,0,1,83.3203125,16.293403078319326,52.69123678300775,10.488768603586157
11,1,1,43.0546875,0.2563864089182888,6.967539664516129,1.2495501984971993
11,0,2,65.3515625,4.62774687108196,6.641497633311542,0.2741366634168899
11,1,3,59.10546875,42.75204781834813,58.01990126150425,6.62170099150942
11,0,3,85.3125,9.612478422055672,24.211453323465424,3.947422348032864
11,1,1,51.14453125,0.8947115750850042,4.903842231183782,0.5595793946709496
11,0,3,67.2734375,7.376555876979751,14.411278357743171,1.5267831000169585
11,1,2,37.05859375,7.92934650697766,10.15425220140638,1.914168409424772
11,0,1,67.26171875,1.3607106245624495e-05,3.4608710015816238,0.4627953799995666
11,1,2,32.6015625,0.3007240019383884,0.9834017114304592,0.226035889203362
12,0,2,81.45703125,99.5905833761715,99.99850844241453,51.50887707007788
12,1,1,73.07421875,98.83686073992699,99.89061691624258,32.48070570339026
12,0,3,75.39453125,46.25934215857575,89.47706224479842,29.79351184941192
12,1,3,61.0625,45.81804643651256,97.21648122394694,54.65669899794466
12,0,2,89.47265625,95.46261314688952,99.57695487175344,35.988919421179645
12,1,2,47.06640625,84.56591940407647,98.48840423476983,25.348920311995006
12,0,3,51.27734375,99.37838820820646,99.63575250487982,38.438163560540815
12,1,1,33.015625,88.6442433299623,90.94690307890474,24.37418297153418
12,0,3,89.3828125,99.84863023107914,99.93399867146974,43.13073763100192
12,1,1,37.01171875,40.5987883264587,58.58813820048598,10.696234788713566
12,0,3,37.078125,62.56667128253438,77.90234812403205,13.085533315343138
12,1,1,38.99609375,98.3421711439306,99.54975302110691,18.942758934861462
12,0,2,71.375,93.35614653478747,99.99991368154035,41.68132408659781
12,1,1,63.0625,99.85135495604766,99.96591452748842,43.283142068710866
12,0,2,81.3046875,32.166550664715025,43.32794846047675,14.617876336336831
12,1,3,63.06640625,10.353848658594831,90.64022968160609,36.45932477282016
13,0,1,49.48046875,15.905484680283914,30.02863073061336,11.913887762513085
13,1,2,17.078125,14.887548450600598,27.78321509080207,10.316865493276183
13,0,1,49.609375,26.65132814007292,58.63733936985268,11.720363338993817
13,1,2,25.36328125,36.255906823243116,93.2821495686912,22.05515027902642
13,0,3,37.4921875,2.0026440318734395,42.299639223143615,6.043305008427064
13,1,3,9.08984375,1.313370735273567,3.921334069576011,1.9954633079306487
13,0,1,43.62890625,98.9757589194228,99.50278095288488,32.86283205926112
13,1,2,15.421875,73.53214668898299,97.58490972529324,48.20569221607725
13,0,2,63.98046875,76.27141414967842,97.54256728555175,27.41231440756211
13,1,3,39.25390625,19.551138858748377,31.68815748288202,10.784872627924223
13,0,3,63.76953125,69.26268092551531,78.3189886915983,15.584056787269892
13,1,1,35.1171875,7.990955183054889,71.20401513719693,10.341425432038228
13,0,2,62.0078125,54.43442639605695,89.17304877183828,12.884739154716373
13,1,1,29.390625,49.5796962874114,75.04795007086253,9.947616439259912
13,0,2,43.375,56.40655944332053,85.74250693020663,9.362000878902363
13,1,3,31.12890625,25.596087263752406,78.56822516235322,21.539891544754433
13,0,1,65.7109375,97.27855737734357,99.79910911336817,21.6907928983641
13,1,3,35.390625,12.621642533492519,47.97656653763075,14.42454792338562
13,0,2,77.41796875,96.12743015237822,99.05650779475035,25.04507910219603
13,1,1,31.3671875,10.345258938259557,24.540580440469654,5.596710813441949
13,0,1,71.9765625,99.02397846708152,99.53051964657979,27.3239460472904
