trial,subject,k,arousal,event,excess_fixed,excess_adaptive,above,above_adaptive,sustained,rate,tsec,a100,strat,late
11_9,11,20,0.06845605075734643,0.0,0.0,0.0,0.0,0.0,0.0,-0.12382691113038896,40,0.0006845605075734642,35-40,1.0
11_9,11,21,0.04589812780807244,1.0,0.0,0.0,0.0,0.0,0.0,-0.03633059721085142,42,0.00045898127808072437,41-46,1.0
12_1,12,0,0.157511245077623,0.0,0.0,0.0,0.0,0.0,0.0,0.157511245077623,0,0.0015751124507762302,<30,0.0
12_1,12,1,5.025601566143347,0.0,0.1991999083849132,0.6780446213222611,1.0,1.0,0.0,1.7138819934908194,2,0.05025601566143347,<30,0.0
12_1,12,2,18.605312939136365,0.0,8.90588473827113,5.347344322418335,1.0,1.0,1.0,6.07190428846684,4,0.18605312939136365,<30,0.0
12_1,12,3,8.095567178633939,0.0,0.0,0.0,0.0,0.0,0.0,-2.5940736835647176,6,0.08095567178633939,<30,0.0
12_1,12,4,3.4076743583777964,0.0,0.0,0.0,0.0,0.0,0.0,-2.8959624777638426,8,0.03407674358377796,<30,0.0
12_1,12,5,0.9015120492175482,0.0,0.0,0.0,0.0,0.0,0.0,-1.622346096953594,10,0.009015120492175482,<30,0.0
12_1,12,6,0.2939878504874297,0.0,0.0,0.0,0.0,0.0,0.0,-0.4872761750357395,12,0.002939878504874297,<30,0.0
12_1,12,7,0.1679612332084781,0.0,0.0,0.0,0.0,0.0,0.0,-0.09894498631326654,14,0.0016796123320847811,<30,0.0
12_1,12,8,1.0027084022776234,0.0,0.0,0.0,0.0,0.0,0.0,0.2526727679108968,16,0.010027084022776234,<30,0.0
12_1,12,9,5.084416447635133,0.0,0.0,0.0,0.0,0.0,0.0,1.6497450334550545,18,0.050844164476351324,<30,0.0
12_1,12,10,4.467285432420139,0.0,0.0,0.0,0.0,0.0,0.0,0.3354508480051206,20,0.04467285432420139,<30,0.0
12_1,12,11,1.8103645970416253,0.0,0.0,0.0,0.0,0.0,0.0,-1.1027742589474159,22,0.018103645970416252,<30,0.0
12_1,12,12,2.5840076049533103,0.0,0.0,0.0,0.0,0.0,0.0,-0.12907327247091913,24,0.025840076049533103,<30,0.0
12_1,12,13,8.836538508450246,0.0,0.0,0.0,0.0,0.0,0.0,2.3759105821305604,26,0.08836538508450247,<30,0.0
12_1,12,14,10.46184846815656,0.0,0.0,0.0,0.0,0.0,0.0,1.7419753026268838,28,0.10461848468156561,<30,1.0
12_1,12,15,35.688205130880306,0.0,0.6545795869889375,4.909439780876575,1.0,1.0,0.0,8.645641444278732,30,0.35688205130880307,30-34,1.0
