subject,difficulty,condition,arousal,remaining,total,bin
9,0,1,0.12785333177545535,23.21875,53.21875,"(0, 15]"
9,1,2,3.320094534929556,7.12890625,37.12890625,"(0, 15]"
9,0,2,0.047381879952802186,7.19140625,37.19140625,"(0, 15]"
9,1,3,0.0679412603023258,5.01171875,35.01171875,"(0, 15]"
9,0,1,6.948870862413065,37.3125,67.3125,"(0, 15]"
9,1,1,0.01948880556972995,14.79296875,44.79296875,"(0, 15]"
10,0,1,2.7813095651830615,60.1875,90.1875,"(0, 15]"
10,1,2,5.313643472557848,1.08203125,31.08203125,"(0, 15]"
10,0,1,0.6744362680681263,37.83203125,67.83203125,"(0, 15]"
10,1,2,2.7228195538028515,5.17578125,35.17578125,"(0, 15]"
10,0,3,0.6508493695642865,31.546875,61.546875,"(0, 15]"
10,1,3,2.255219800335632,11.27734375,41.27734375,"(0, 15]"
10,1,3,0.7535663102581074,5.11328125,35.11328125,"(0, 15]"
10,0,3,27.156678261366142,45.66796875,75.66796875,"(15, 30]"
10,1,1,0.29437721170607734,5.13671875,35.13671875,"(0, 15]"
10,0,2,2.679336285320565,35.55078125,65.55078125,"(0, 15]"
10,1,2,1.5906006344604076,5.09375,35.09375,"(0, 15]"
10,0,1,33.124548544921595,51.625,81.625,"(30, 45]"
10,1,3,0.17328226658413623,3.125,33.125,"(0, 15]"
10,0,1,0.00791082564420012,47.52734375,77.52734375,"(0, 15]"
10,1,3,2.4464713775141047,11.10546875,41.10546875,"(0, 15]"
10,0,2,1.717922273324953,59.33984375,89.33984375,"(0, 15]"
10,1,2,1.348253887775396,5.06640625,35.06640625,"(0, 15]"
10,0,1,0.8023476730956078,49.64453125,79.64453125,"(0, 15]"
10,1,3,2.947820270134371,7.09375,37.09375,"(0, 15]"
10,0,3,0.5214023320212071,41.49609375,71.49609375,"(0, 15]"
10,1,2,0.6382070495708577,17.078125,47.078125,"(0, 15]"
10,0,1,0.0027737540309968876,33.515625,63.515625,"(0, 15]"
10,1,2,6.42920105876032,8.8671875,38.8671875,"(0, 15]"
11,0,2,0.26160834534303035,41.44921875,71.44921875,"(0, 15]"
11,1,3,0.6743993270136248,33.07421875,63.07421875,"(0, 15]"
11,0,1,0.09152889547599632,35.265625,65.265625,"(0, 15]"
11,1,1,3.359936453978322,19.1328125,49.1328125,"(0, 15]"
11,0,2,1.9586323098923462,33.21875,63.21875,"(0, 15]"
11,1,3,0.09514251634176142,1.06640625,31.06640625,"(0, 15]"
11,0,3,0.3034518132788764,59.44140625,89.44140625,"(0, 15]"
11,1,1,2.5392690960427364,1.0234375,31.0234375,"(0, 15]"
11,0,2,0.4441216305109433,59.5546875,89.5546875,"(0, 15]"
11,1,2,11.144855403674079,13.08203125,43.08203125,"(0, 15]"
11,0,1,0.72618753783893,33.30859375,63.30859375,"(0, 15]"
11,1,3,9.33139331713347,3.04296875,33.04296875,"(0, 15]"
11,0,2,0.43049451439788483,31.25390625,61.25390625,"(0, 15]"
11,1,3,0.68644093747331,29.1484375,59.1484375,"(0, 15]"
11,0,1,0.6935321582917892,53.3203125,83.3203125,"(0, 15]"
11,1,1,0.28610770744672404,13.0546875,43.0546875,"(0, 15]"
11,0,2,0.0,35.3515625,65.3515625,
11,1,3,1.0274164239036074,29.10546875,59.10546875,"(0, 15]"
11,0,3,0.00036227741770106876,55.3125,85.3125,"(0, 15]"
11,1,1,2.2458679158997995e-07,21.14453125,51.14453125,"(0, 15]"
11,0,3,0.012159486058522686,37.2734375,67.2734375,"(0, 15]"
11,1,2,3.9049986888459367,7.05859375,37.05859375,"(0, 15]"
11,0,1,0.3696546571439557,37.26171875,67.26171875,"(0, 15]"
11,1,2,0.6463068696488875,2.6015625,32.6015625,"(0, 15]"
12,0,2,57.86786759481195,51.45703125,81.45703125,"(45, 60]"
12,1,1,8.364263594453783,43.07421875,73.07421875,"(0, 15]"
12,0,3,35.638997078533656,45.39453125,75.39453125,"(30, 45]"
12,1,3,78.0811887184148,31.0625,61.0625,"(60, 100]"
12,0,2,7.113342068837467,59.47265625,89.47265625,"(0, 15]"
12,1,2,3.4311827569765234,17.06640625,47.06640625,"(0, 15]"
12,0,3,36.280615901830245,21.27734375,51.27734375,"(30, 45]"
12,1,1,60.8732554000659,3.015625,33.015625,"(60, 100]"
12,0,3,4.463297550750464,59.3828125,89.3828125,"(0, 15]"
12,1,1,14.552971204567324,7.01171875,37.01171875,"(0, 15]"
12,0,3,4.883073260211047,7.078125,37.078125,"(0, 15]"
12,1,1,0.5119390491018526,8.99609375,38.99609375,"(0, 15]"
12,0,2,81.52013229354868,41.375,71.375,"(60, 100]"
12,1,1,14.933751174975786,33.0625,63.0625,"(0, 15]"
12,0,2,29.125985691262343,51.3046875,81.3046875,"(15, 30]"
