subject,condition,dur_s,pre_crash,baseline,rise
6,2,45.08984375,79.97023619469353,33.98238536006043,45.9878508346331
6,2,31.12890625,89.41006743341214,54.00628273853808,35.403784694874055
6,3,51.21484375,96.9408449778669,96.24291058489243,0.6979343929744743
6,3,47.2890625,97.11475723298456,96.69952641531351,0.41523081767104486
6,1,45.12109375,76.05990873269667,60.713952581745865,15.345956150950805
6,3,63.10546875,99.2579914953941,99.15970327269949,0.09828822269460602
6,2,33.03125,67.7937592503857,66.47016282027414,1.3235964301115644
6,2,37.328125,92.6756520293413,92.82911503900866,-0.15346300966736237
6,1,33.1015625,67.75249990730717,79.51848643342282,-11.765986526115654
6,1,46.41796875,78.13897769325784,40.024829274079174,38.11414841917867
7,2,57.11328125,73.24401293272896,49.25212664149211,23.991886291236852
7,1,47.0625,46.06957942869758,38.637995509160575,7.431583919537005
7,2,39.08203125,32.94811457860517,14.751658246222814,18.196456332382358
7,1,33.078125,33.64918114716779,26.47420055884562,7.174980588322168
7,3,63.18359375,72.54540996278804,88.8916611182637,-16.346251155475656
7,2,33.0390625,1.6046973092771424,12.496858077470568,-10.892160768193426
7,2,51.07421875,37.72949763912126,40.16364618532931,-2.43414854620805
7,3,51.15625,19.461091061849245,39.296582109020505,-19.83549104717126
7,2,37.01953125,6.217420917352731,11.243748468491692,-5.0263275511389605
7,1,37.07421875,29.98353161727699,26.41358320680746,3.5699484104695323
8,2,33.1328125,58.14097849390134,45.0879502515062,13.053028242395143
8,1,31.09375,50.86607146171387,4.874705160490219,45.99136630122365
8,3,35.26171875,32.96131234788411,8.48588815507596,24.47542419280815
8,3,53.39453125,86.09410059195974,94.37113745435084,-8.2770368623911
8,1,31.22265625,47.711316070857755,6.359774243191151,41.35154182766661
8,2,43.171875,92.37597632555571,40.10408494503907,52.27189138051664
8,3,39.35546875,10.740747172215404,41.27684430043507,-30.53609712821967
8,3,31.12109375,32.6629428538897,31.413759166284887,1.2491836876048161
8,3,43.453125,76.41629679398788,20.42804775544196,55.98824903854592
8,1,35.23828125,46.53206661603374,7.102097240944209,39.42996937508953
8,3,61.14453125,60.4097713818032,50.21099535410789,10.198776027695317
9,1,33.0703125,22.323014958684062,27.894229937569623,-5.5712149788855605
9,2,61.08984375,38.40301718094752,20.026994598357273,18.37602258259025
9,2,35.0390625,17.121639452329184,9.862255439757595,7.259384012571589
9,3,51.10546875,38.840835972309726,24.308597867056733,14.532238105252993
9,2,35.1171875,44.33325289800917,0.8239043366080077,43.50934856140116
9,2,37.12890625,9.948024067974284,8.85442236278711,1.093601705187174
9,3,35.01171875,0.4088245302679795,1.6831629148650538,-1.2743383845970744
9,1,44.79296875,38.51258796973011,2.0041232327488556,36.50846473698126
10,2,31.08203125,5.4620583952765305,9.865245233034127,-4.4031868377575965
10,2,35.17578125,14.08140574489895,5.729482875727546,8.351922869171403
10,3,41.27734375,69.51798690534504,4.512210119571732,65.0057767857733
10,3,35.11328125,18.42400577651803,3.707685508937979,14.71632026758005
10,1,35.13671875,10.39111562967563,0.039192653341291094,10.35192297633434
10,2,35.09375,2.1259061100538945,1.216266840447466,0.9096392696064286
10,3,33.125,0.3105671695793827,5.492719318524836,-5.182152148945454
10,3,41.10546875,3.9340661586868935,5.141879228126937,-1.2078130694400437
10,2,35.06640625,0.882775267304679,0.48129983816241506,0.401475429142264
10,3,37.09375,1.151642692431484,1.7702004817494057,-0.6185577893179217
10,2,47.078125,3.785504454039402,1.4763347370553899,2.3091697169840124
10,2,38.8671875,25.577835714549092,3.6666687452312354,21.911166969317858
11,3,63.07421875,13.438913776615673,22.439351976974695,-9.000438200359023
11,1,49.1328125,14.342040583638397,20.564082433560543,-6.222041849922146
11,3,31.06640625,0.6194174989080042,2.124953692929879,-1.5055361940218748
11,1,31.0234375,2.1288985494857235,0.38408027974779574,1.7448182697379278
11,2,43.08203125,1.531871674849702,12.219755428473395,-10.687883753623693
11,3,33.04296875,12.820174172061892,0.47471916763153993,12.345455004430352
11,3,59.1484375,70.16994253991587,20.932794609939663,49.2371479299762
11,1,43.0546875,1.9997226625304385,1.7677661786754073,0.2319564838550312
11,3,59.10546875,21.660992463819618,9.304075291061565,12.356917172758052
11,1,51.14453125,1.388208915196731,1.3477121415893702,0.0404967736073607
11,2,37.05859375,5.006510364142048,1.8566135812805946,3.149896782861453
11,2,32.6015625,0.53484918434576,0.17924933780217728,0.35559984654358273
12,1,73.07421875,86.52664256715845,45.78847635249126,40.73816621466719
12,3,61.0625,68.88028406415913,77.06305770435281,-8.182773640193687
