subject,difficulty,condition,size,arousal,t_s
2,0,2,medium,30.84508849491567,43.30078125
2,0,2,medium,13.110877160285026,45.30859375
2,0,2,medium,13.138114928641768,47.3203125
2,0,2,medium,63.54990429812119,49.375
2,0,2,medium,63.891016167985626,51.38671875
2,0,2,medium,32.9163103703211,53.3984375
2,0,2,medium,90.08493872430594,55.44921875
2,0,2,medium,82.86897027143931,57.453125
2,0,2,medium,27.817655513313905,59.4921875
2,0,2,small,82.62100192968211,61.53515625
2,1,1,large,0.8461656937190436,2.9921875
2,1,1,large,0.49216338546675137,4.9921875
2,1,1,large,0.2425262201801591,6.9921875
2,1,1,large,0.08096624964701205,8.9921875
2,1,1,large,0.03898088005491735,10.9921875
2,1,1,large,0.010275248423708623,12.9921875
2,1,1,large,0.05669280730204616,14.9921875
2,1,1,large,4.741927861492749,16.9921875
2,1,1,large,2.489529638193148,19.00390625
2,1,1,large,8.290151474274188,21.00390625
2,1,1,large,26.339200808021573,23.00390625
2,1,1,large,15.694779986367156,25.015625
2,1,1,large,6.443659870299624,27.015625
2,1,1,large,5.670572084323259,29.015625
2,1,1,medium,8.424310181256018,31.03125
2,1,1,medium,6.841628447468864,33.02734375
2,1,1,medium,9.836445448858397,35.03125
2,1,1,medium,5.632502465343606,37.03125
2,1,1,medium,8.08946887070353,39.03125
2,1,1,medium,2.241457285094506,41.03125
2,1,1,medium,1.5203124217325863,43.02734375
2,1,1,medium,6.626430058246054,45.04296875
2,0,2,large,8.527957186348566,2.9921875
2,0,2,large,11.109598429608896,4.9921875
2,0,2,large,5.066394128516942,6.9921875
2,0,2,large,5.926258078594639,8.9921875
2,0,2,large,6.593273807858806,11.00390625
2,0,2,large,2.7846767858383163,13.01171875
2,0,2,large,12.174616987858615,15.015625
2,0,2,large,59.25226555005071,17.03125
2,0,2,large,41.45289646055739,19.04296875
2,0,2,large,23.02434967411536,21.109375
2,0,2,large,51.08307841771183,23.15234375
2,0,2,large,61.394202912803124,25.17578125
2,0,2,large,21.63889918478731,27.19140625
2,0,2,large,59.65058176674531,29.1875
2,0,2,medium,87.37342325113696,31.23046875
2,0,2,medium,89.32813784702543,33.2421875
2,0,2,medium,65.16733267216983,35.2421875
2,0,2,medium,33.369674603845574,37.2421875
2,0,2,medium,78.16662429158717,39.26171875
2,0,2,medium,78.86238394923058,41.25390625
2,0,2,medium,32.78036215809605,43.26171875
2,0,2,medium,8.896659992954724,45.25390625
2,0,2,medium,4.059074997451477,47.2734375
2,0,2,medium,6.44926989027389,49.29296875
2,0,2,medium,2.3262178272310026,51.30859375
2,0,2,medium,12.725090852992091,53.3203125
2,0,2,medium,13.785587860000138,55.3359375
2,0,2,medium,7.081718198361775,57.33203125
2,0,2,medium,27.294686304310307,59.35546875
2,0,2,small,33.07384779374664,61.375
2,0,2,small,77.19257525739762,63.40234375
2,1,1,large,1.9974599169707548,2.984375
2,1,1,large,4.678965750505193,4.97265625
2,1,1,large,10.428297019719427,6.984375
2,1,1,large,6.04483575211814,8.984375
2,1,1,large,2.0254811602585816,10.984375
2,1,1,large,8.135102846935956,12.984375
2,1,1,large,4.4394511500810685,14.984375
2,1,1,large,2.1173920698797826,16.99609375
2,1,1,large,38.96917212682903,18.99609375
2,1,1,large,87.8131305356111,21.03125
2,1,1,large,59.30824355500037,23.0234375
2,1,1,large,16.610889112490987,25.03515625
2,1,1,large,6.115077387176488,27.03515625
2,1,1,large,8.09993751033262,29.03515625
2,1,1,medium,22.654121504901042,31.03515625
2,1,1,medium,10.395256579726965,33.0390625
2,1,1,medium,13.792064754449823,35.046875
2,1,1,medium,34.6580157457419,37.046875
2,1,1,medium,24.90153697681004,39.046875
2,1,1,medium,55.227153658841495,41.046875
2,1,1,medium,96.2355535259208,43.07421875
2,1,1,medium,98.427753537119,45.0859375
2,0,3,large,6.503958589650846,3.00390625
2,0,3,large,6.218293912399533,5.00390625
2,0,3,large,2.382211271017273,7.00390625
2,0,3,large,9.330984827730127,9.00390625
2,0,3,large,8.557632231634045,11.015625
2,0,3,large,2.2754625485640325,13.015625
2,0,3,large,3.88237050094863,15.03125
2,0,3,large,40.56200105480913,17.04296875
2,0,3,large,24.44735151635182,19.0546875
2,0,3,large,17.261758080273587,21.17578125
2,0,3,large,84.94671094675239,23.17578125
2,0,3,large,69.75309426038449,25.203125
2,0,3,large,20.440324968366514,27.203125
2,0,3,large,8.894399368286496,29.203125
2,0,3,medium,44.91297131359798,31.25390625
2,0,3,medium,27.40941225644025,33.26953125
2,0,3,medium,15.525640598399272,35.296875
2,0,3,medium,54.45107431296364,37.3203125
2,0,3,medium,49.67408799279225,39.33203125
2,0,3,medium,36.02619677582942,41.34765625
2,0,3,medium,10.880630888409295,43.359375
2,0,3,medium,7.992095454504189,45.359375
2,0,3,medium,2.976002836071304,47.359375
2,0,3,medium,9.161967391198726,49.40234375
2,0,3,medium,53.910892368660946,51.42578125
2,0,3,medium,91.82227007661399,53.44140625
2,0,3,medium,51.64758418855391,55.453125
2,0,3,medium,19.9141750894693,57.453125
2,0,3,medium,61.34286333188992,59.48046875
2,0,3,small,79.75890940097383,61.4921875
2,0,3,small,65.60609453310639,63.50390625
2,0,3,small,48.42640690952069,65.51953125
2,0,3,small,91.80229974346199,67.515625
2,0,3,small,87.07511201475086,69.53125
2,0,3,small,65.57992288846926,71.55078125
2,0,3,small,90.981327470165,73.546875
2,0,3,small,98.12601301991683,75.546875
2,0,3,small,89.41313256581321,77.5703125
2,0,3,small,57.33166859697198,79.59765625
2,0,3,small,93.44026317261098,81.59765625
2,0,3,small,99.56090159648383,83.625
2,0,3,small,99.71063213866252,85.63671875
2,0,3,small,99.74584085490764,87.64453125
2,1,3,large,16.96943239340083,2.984375
2,1,3,large,39.57758725086511,4.99609375
2,1,3,large,42.176446972307794,6.99609375
2,1,3,large,37.75793361831958,8.99609375
2,1,3,large,22.29517981286495,10.99609375
2,1,3,large,40.43412045414831,12.99609375
2,1,3,large,17.37069702444094,14.99609375
2,1,3,large,7.023090745033006,16.99609375
2,1,3,large,14.589470052433539,18.99609375
2,1,3,large,19.08814603435733,20.99609375
2,1,3,large,46.11591324060855,22.99609375
2,1,3,large,59.05845810008847,24.99609375
2,1,3,large,71.84282539270482,26.99609375
2,1,3,large,91.79770101988404,28.99609375
2,1,3,medium,50.45726486789813,31.0078125
2,1,3,medium,86.56508543432757,33.0078125
2,1,3,medium,98.78251565565843,35.02734375
2,1,3,medium,94.97586693563802,37.01953125
2,1,3,medium,98.49865495384337,39.01953125
2,1,3,medium,92.05378798462378,41.01953125
2,1,3,medium,89.42630198003842,43.03515625
2,1,3,medium,91.1103478576271,45.046875
2,1,3,medium,98.4719460265346,47.11328125
2,1,3,medium,98.15337846082927,49.1796875
2,1,3,medium,99.87936939678389,51.24609375
2,1,3,medium,99.99208004548215,53.2890625
2,0,1,large,15.950240773713276,2.98046875
2,0,1,large,21.901169119342313,4.98046875
2,0,1,large,20.46483339080452,6.98046875
2,0,1,large,23.27327074454329,8.98046875
2,0,1,large,21.515035184450625,10.98046875
2,0,1,large,12.637680607802437,12.98046875
2,0,1,large,13.289557618230242,14.99609375
2,0,1,large,31.012462726147447,16.99609375
2,0,1,large,66.26148420042453,18.99609375
2,0,1,large,58.15045548650407,21.0078125
2,0,1,large,77.68055772658565,23.0078125
2,0,1,large,96.75379728022456,25.01953125
2,0,1,large,84.32042374274477,27.03515625
2,0,1,large,47.213511832039245,29.046875
2,0,1,medium,27.548302299888636,31.046875
2,0,1,medium,38.056049193962735,33.05078125
