subject,difficulty,condition,size,arousal,t_s
3,1,1,large,34.79502096483479,6.984375
3,1,1,large,56.002551109734206,8.984375
3,1,1,large,85.19380030791748,10.984375
3,1,1,large,92.9163177918056,12.99609375
3,1,1,large,90.34850343099431,14.99609375
3,1,1,large,81.77458667630337,17.0
3,1,1,large,58.05585776651999,18.99609375
3,1,1,large,42.527544681408514,20.99609375
3,1,1,large,66.43667678638938,23.0078125
3,1,1,large,57.99037020156037,25.0078125
3,1,1,large,34.28598215284686,27.0078125
3,1,1,large,20.169198340004606,29.0078125
3,1,1,medium,13.013702962377279,31.0078125
3,1,1,medium,9.707682016092262,33.0078125
3,1,1,medium,18.628377676254317,35.0234375
3,1,1,medium,24.841319543889348,37.0234375
3,1,1,medium,26.930859998186236,39.015625
3,1,1,medium,26.624461541423557,41.0234375
3,1,1,medium,26.51345719018838,43.0234375
3,1,1,medium,21.779747394422323,45.0234375
3,1,1,medium,31.279012875754507,47.0234375
3,1,1,medium,52.15407714721373,49.03515625
3,1,1,medium,83.40007194331623,51.03515625
3,1,1,medium,83.44326272846081,53.046875
3,1,1,medium,90.59182875763115,55.046875
3,1,1,medium,94.29401882731285,57.046875
3,1,1,medium,96.3810746890848,59.0625
3,1,1,small,99.13214130999185,61.0859375
3,1,1,small,99.7459498566361,63.11328125
4,0,1,large,0.5378224495388196,2.9921875
4,0,1,large,0.7816648620833347,4.99609375
4,0,1,large,0.9206182318240173,7.00390625
4,0,1,large,0.9303058202659048,8.9921875
4,0,1,large,0.9894658483229812,11.00390625
4,0,1,large,1.392776092217877,12.9921875
4,0,1,large,1.2280022666057029,15.00390625
4,0,1,large,1.6009650235546868,17.00390625
4,0,1,large,1.2405162542529289,19.00390625
4,0,1,large,4.5663600889812495,21.03125
4,0,1,large,22.12478912948159,23.04296875
4,1,1,large,0.21266276599675832,2.9921875
4,1,1,large,0.09694827671437467,5.00390625
4,1,1,large,0.18592327161935063,7.00390625
4,1,1,large,1.2537449932362137,9.00390625
4,1,1,large,1.3672220698975301,11.00390625
4,1,1,large,0.5582225290667922,13.00390625
4,1,1,large,0.7893116827668798,15.00390625
4,1,1,large,0.3386196782182231,17.00390625
4,1,1,large,0.13439575111623994,19.00390625
4,1,1,large,0.48082617496633767,21.00390625
4,1,1,large,0.3091386412315582,23.00390625
4,1,1,large,8.409699475211653,25.00390625
4,1,1,large,71.41881369503302,27.37890625
4,0,1,large,0.9054768778953386,2.9921875
4,0,1,large,0.6735283271018234,4.9921875
4,0,1,large,1.3464936005819226,6.9921875
4,0,1,large,1.7851335809051443,8.9921875
4,0,1,large,2.3041482102874435,10.9921875
4,0,1,large,1.7798590989296645,12.9921875
4,0,1,large,1.9604914919796794,14.9921875
4,0,1,large,2.0733648280146157,16.9921875
4,0,1,large,10.336021528215293,18.9921875
4,0,1,large,55.027882045669585,21.01953125
4,0,1,large,90.0041545543265,23.03125
4,1,3,large,1.738129831660237,2.9921875
4,1,3,large,1.6820317817662005,4.9921875
4,1,3,large,1.7019862622458193,6.9765625
4,1,3,large,1.5385379640948913,8.9921875
4,1,3,large,1.8179822310303226,10.9921875
4,1,3,large,1.7766894387969627,12.9921875
4,1,3,large,1.3925346943331292,14.9921875
4,1,3,large,3.5292363634207167,16.9921875
4,1,3,large,3.1252622293358403,18.9921875
4,1,3,large,4.918524691283517,20.98828125
4,1,3,large,4.872534199796094,23.00390625
4,1,3,large,10.296442328780202,25.00390625
4,1,3,large,46.786288184825295,27.00390625
4,1,3,large,63.686448151634444,29.00390625
4,1,3,medium,71.69034595384413,31.015625
4,1,3,medium,90.41043301775971,33.03125
4,1,3,medium,77.47326768113423,35.02734375
4,1,3,medium,51.16963278330474,37.02734375
4,1,3,medium,61.60172975676785,39.04296875
4,1,3,medium,73.2132839086957,41.04296875
4,1,3,medium,33.34195911056317,43.04296875
4,1,3,medium,23.609139436834333,45.04296875
4,1,3,medium,59.586732564073856,47.04296875
4,1,3,medium,81.98426012093431,49.0546875
4,1,3,medium,67.23250178249282,51.0546875
4,1,3,medium,86.16533528295577,53.06640625
4,1,3,medium,90.04754734578378,55.06640625
4,0,2,large,0.27539638098431685,3.00390625
4,0,2,large,1.1013545718723279,4.9921875
4,0,2,large,0.7483387428441277,6.9921875
4,0,2,large,0.8827649893736811,8.9921875
4,0,2,large,1.4551088148212195,10.9921875
4,0,2,large,1.580114407068305,12.98828125
4,0,2,large,1.9769336914100906,15.00390625
4,0,2,large,2.1971118270341625,16.98828125
4,0,2,large,10.560553885942532,18.98828125
4,0,2,large,24.472962884243692,21.015625
4,0,2,large,23.482064154104776,23.03125
4,0,2,large,7.6621525868286415,25.03125
4,0,2,large,2.371996527651861,27.04296875
4,0,2,large,1.7387140733129558,29.0546875
4,0,2,medium,4.442629511660994,31.0546875
4,0,2,medium,12.934402708917428,33.0703125
4,0,2,medium,8.262997138187787,35.08203125
4,0,2,medium,4.0635501579400035,37.08203125
4,0,2,medium,1.1026272022707322,39.09375
4,0,2,medium,2.7224616556792225,41.09375
4,0,2,medium,39.785104996641095,43.109375
4,0,2,medium,37.24595379329611,45.109375
4,0,2,medium,52.8411443663909,47.109375
4,0,2,medium,93.66269647585796,49.1484375
4,0,2,medium,90.74577850973304,51.16015625
4,0,2,medium,44.88548251887755,53.16015625
4,0,2,medium,60.66885155174743,55.17578125
4,0,2,medium,37.054867147155925,57.17578125
4,0,2,medium,55.167206824926836,59.1875
4,0,2,small,59.850794040160835,61.21484375
4,0,2,small,73.17415608420856,63.21484375
4,0,2,small,96.63180550389387,65.23046875
4,0,2,small,99.75802366517155,67.23828125
4,0,2,small,99.91607726084737,69.27734375
4,0,2,small,97.53455236713062,71.29296875
4,0,2,small,95.03927527690396,73.29296875
4,0,2,small,88.7254203387888,75.29296875
4,0,2,small,97.43419660463945,77.359375
4,1,2,large,1.9094646589821285,2.9921875
4,1,2,large,3.1558290461952208,4.9921875
4,1,2,large,1.7835664879444135,6.9921875
4,1,2,large,2.318656251554898,8.9921875
4,1,2,large,1.9954161244896502,10.9921875
4,1,2,large,1.1897014426396544,12.9921875
4,1,2,large,1.4230259692181337,14.9921875
4,1,2,large,1.9232520865848048,16.9921875
4,1,2,large,1.784583714423507,18.9921875
4,1,2,large,2.0786175668111504,20.9921875
4,1,2,large,2.209379939783431,22.9921875
4,1,2,large,2.919592510886236,24.9921875
4,1,2,large,1.3370006479009193,26.9921875
4,1,2,large,0.3578247837994927,28.9921875
4,1,2,medium,0.10188930318644734,30.9921875
4,1,2,medium,0.2758262839397829,32.99609375
4,0,3,large,1.4034240185716993,3.00390625
4,0,3,large,1.5805657717122805,5.00390625
4,0,3,large,1.7383463797098777,7.00390625
4,0,3,large,1.575070410739527,9.00390625
4,0,3,large,1.4240561352822614,11.01171875
4,0,3,large,0.6028351687570908,13.00390625
4,0,3,large,0.2954670223643896,15.00390625
4,0,3,large,2.246657556004627,17.00390625
4,0,3,large,10.178994080407218,19.01171875
4,0,3,large,23.95760329559843,21.03125
4,0,3,large,18.965057512091278,23.04296875
4,0,3,large,5.780901031090931,25.05078125
4,0,3,large,1.97611833093129,27.0546875
4,0,3,large,2.9525388267921526,29.0703125
4,0,3,medium,6.583189050801099,31.08203125
4,0,3,medium,12.91193492873706,33.08203125
4,0,3,medium,47.28158589535571,35.09375
4,0,3,medium,39.725858577815444,37.09375
4,0,3,medium,16.819573221164138,39.09375
4,0,3,medium,15.931121409803454,41.109375
4,0,3,medium,64.10068942762172,43.109375
4,0,3,medium,72.45703293262534,45.11328125
4,0,3,medium,56.95915246920873,47.1171875
4,0,3,medium,78.02451957446463,49.17578125
4,0,3,medium,86.88903571369939,51.19921875
4,0,3,medium,80.16572381744243,53.19921875
4,0,3,medium,68.30971757264643,55.21484375
4,0,3,medium,49.360409282184655,57.21484375
4,0,3,medium,70.28319541822941,59.23828125
4,0,3,small,73.27960946711227,61.25390625
4,0,3,small,87.07466603720655,63.29296875
